n,d,coord1,coord2,sim,theta_star_coord1,theta_star_coord2,covered
1000,2,-0.137,-0.018,1,0,0,1
1000,2,-0.137,-0.017,1,0,0,1
1000,2,-0.137,-0.016,1,0,0,1
1000,2,-0.137,-0.015,1,0,0,1
1000,2,-0.137,-0.014,1,0,0,1
1000,2,-0.137,-0.013,1,0,0,1
1000,2,-0.137,-0.012,1,0,0,1
1000,2,-0.137,-0.011,1,0,0,1
1000,2,-0.137,-0.01,1,0,0,1
1000,2,-0.137,-0.00900000000000001,1,0,0,1
1000,2,-0.137,-0.00800000000000001,1,0,0,1
1000,2,-0.137,-0.00700000000000001,1,0,0,1
1000,2,-0.137,-0.00600000000000001,1,0,0,1
1000,2,-0.137,-0.005,1,0,0,1
1000,2,-0.136,-0.025,1,0,0,1
1000,2,-0.136,-0.024,1,0,0,1
1000,2,-0.136,-0.023,1,0,0,1
1000,2,-0.136,-0.022,1,0,0,1
1000,2,-0.136,-0.021,1,0,0,1
1000,2,-0.136,-0.02,1,0,0,1
1000,2,-0.136,-0.019,1,0,0,1
1000,2,-0.136,-0.018,1,0,0,1
1000,2,-0.136,-0.017,1,0,0,1
1000,2,-0.136,-0.016,1,0,0,1
1000,2,-0.136,-0.015,1,0,0,1
1000,2,-0.136,-0.014,1,0,0,1
1000,2,-0.136,-0.013,1,0,0,1
1000,2,-0.136,-0.012,1,0,0,1
1000,2,-0.136,-0.011,1,0,0,1
1000,2,-0.136,-0.01,1,0,0,1
1000,2,-0.136,-0.00900000000000001,1,0,0,1
1000,2,-0.136,-0.00800000000000001,1,0,0,1
1000,2,-0.136,-0.00700000000000001,1,0,0,1
1000,2,-0.136,-0.00600000000000001,1,0,0,1
1000,2,-0.136,-0.005,1,0,0,1
1000,2,-0.136,-0.004,1,0,0,1
1000,2,-0.136,-0.003,1,0,0,1
1000,2,-0.136,-0.002,1,0,0,1
1000,2,-0.136,-0.001,1,0,0,1
1000,2,-0.136,0,1,0,0,1
1000,2,-0.136,0.001,1,0,0,1
1000,2,-0.135,-0.029,1,0,0,1
1000,2,-0.135,-0.028,1,0,0,1
1000,2,-0.135,-0.027,1,0,0,1
1000,2,-0.135,-0.026,1,0,0,1
1000,2,-0.135,-0.025,1,0,0,1
1000,2,-0.135,-0.024,1,0,0,1
1000,2,-0.135,-0.023,1,0,0,1
1000,2,-0.135,-0.022,1,0,0,1
1000,2,-0.135,-0.021,1,0,0,1
1000,2,-0.135,-0.02,1,0,0,1
1000,2,-0.135,-0.019,1,0,0,1
1000,2,-0.135,-0.018,1,0,0,1
1000,2,-0.135,-0.017,1,0,0,1
1000,2,-0.135,-0.016,1,0,0,1
1000,2,-0.135,-0.015,1,0,0,1
1000,2,-0.135,-0.014,1,0,0,1
1000,2,-0.135,-0.013,1,0,0,1
1000,2,-0.135,-0.012,1,0,0,1
1000,2,-0.135,-0.011,1,0,0,1
1000,2,-0.135,-0.01,1,0,0,1
1000,2,-0.135,-0.00900000000000001,1,0,0,1
