c_val,n,d,method,value
-1.25738845241552,10,1,"Analytical
expression",15
-1.24706356891266,10,1,"Analytical
expression",14.0796133414731
-1.2367386854098,10,1,"Analytical
expression",13.2241565111262
-1.22641380190694,10,1,"Analytical
expression",12.4286230392375
-1.21608891840408,10,1,"Analytical
expression",11.6884206982006
-1.20576403490122,10,1,"Analytical
expression",10.9993351801155
-1.19543915139836,10,1,"Analytical
expression",10.357497121849
-1.1851142678955,10,1,"Analytical
expression",9.75935215531333
-1.17478938439264,10,1,"Analytical
expression",9.20163369296503
-1.16446450088978,10,1,"Analytical
expression",8.68133818743567
-1.15413961738692,10,1,"Analytical
expression",8.19570263012726
-1.14381473388406,10,1,"Analytical
expression",7.74218407686306
-1.1334898503812,10,1,"Analytical
expression",7.31844100955678
-1.12316496687834,10,1,"Analytical
expression",6.92231636160458
-1.11284008337548,10,1,"Analytical
expression",6.55182205154003
-1.10251519987262,10,1,"Analytical
expression",6.2051248846207
-1.09219031636976,10,1,"Analytical
expression",5.88053369561807
-1.0818654328669,10,1,"Analytical
expression",5.57648761831563
-1.07154054936404,10,1,"Analytical
expression",5.2915453782295
-1.06121566586118,10,1,"Analytical
expression",5.02437551497526
-1.05089078235832,10,1,"Analytical
expression",4.77374744962959
-1.04056589885546,10,1,"Analytical
expression",4.53852332047628
-1.03024101535259,10,1,"Analytical
expression",4.31765051777348
-1.01991613184973,10,1,"Analytical
expression",4.11015485471472
-1.00959124834687,10,1,"Analytical
expression",3.91513431765127
-0.999266364844014,10,1,"Analytical
expression",3.73175334396428
-0.988941481341154,10,1,"Analytical
expression",3.55923758077868
-0.978616597838294,10,1,"Analytical
expression",3.3968690820494
-0.968291714335434,10,1,"Analytical
expression",3.24398190547135
-0.957966830832573,10,1,"Analytical
expression",3.09995807420821
-0.947641947329713,10,1,"Analytical
expression",2.96422387164054
-0.937317063826853,10,1,"Analytical
expression",2.83624644023291
-0.926992180323993,10,1,"Analytical
expression",2.71553065824452
-0.916667296821132,10,1,"Analytical
expression",2.60161627038394
-0.906342413318272,10,1,"Analytical
expression",2.49407525066104
-0.896017529815412,10,1,"Analytical
expression",2.39250937763973
-0.885692646312552,10,1,"Analytical
expression",2.29654800406374
-0.875367762809692,10,1,"Analytical
expression",2.20584600443083
-0.865042879306831,10,1,"Analytical
expression",2.12008188554637
-0.854717995803971,10,1,"Analytical
expression",2.03895604640762
-0.844393112301111,10,1,"Analytical
expression",1.96218917496916
-0.83406822879825,10,1,"Analytical
expression",1.88952077042941
-0.82374334529539,10,1,"Analytical
expression",1.82070778066792
-0.81341846179253,10,1,"Analytical
expression",1.75552334536308
-0.80309357828967,10,1,"Analytical
expression",1.69375563613817
-0.79276869478681,10,1,"Analytical
expression",1.63520678582855
-0.782443811283949,10,1,"Analytical
expression",1.57969189964035
-0.772118927781089,10,1,"Analytical
expression",1.52703814158792
-0.761794044278229,10,1,"Analytical
expression",1.47708389015993
-0.751469160775369,10,1,"Analytical
expression",1.42967795767562
-0.741144277272508,10,1,"Analytical
expression",1.38467886826012
-0.730819393769648,10,1,"Analytical
expression",1.3419541897933
-0.720494510266788,10,1,"Analytical
expression",1.30137991557523
-0.710169626763928,10,1,"Analytical
expression",1.26283989180585
-0.699844743261067,10,1,"Analytical
expression",1.22622528730023
-0.689519859758207,10,1,"Analytical
expression",1.19143410215655
-0.679194976255347,10,1,"Analytical
expression",1.15837071236384
-0.668870092752487,10,1,"Analytical
expression",1.12694544758398
-0.658545209249626,10,1,"Analytical
expression",1.09707419956791
-0.648220325746766,10,1,"Analytical
expression",1.0686780588728
-0.637895442243906,10,1,"Analytical
expression",1.04168297773615
-0.627570558741046,10,1,"Analytical
expression",1.01601945713569
-0.617245675238185,10,1,"Analytical
expression",0.991622256222768
-0.606920791735325,10,1,"Analytical
expression",0.968430122462176
-0.596595908232465,10,1,"Analytical
expression",0.946385540944491
-0.586271024729605,10,1,"Analytical
expression",0.925434501459362
-0.575946141226744,10,1,"Analytical
expression",0.905526282030159
-0.565621257723884,10,1,"Analytical
expression",0.886613247713346
-0.555296374221024,10,1,"Analytical
expression",0.868650663560447
-0.544971490718164,10,1,"Analytical
expression",0.851596520727306
-0.534646607215303,10,1,"Analytical
expression",0.83541137479514
-0.524321723712443,10,1,"Analytical
expression",0.820058195441301
-0.513996840209583,10,1,"Analytical
expression",0.805502226665237
-0.503671956706723,10,1,"Analytical
expression",0.791710856837288
-0.493347073203863,10,1,"Analytical
expression",0.778653497895292
-0.483022189701002,10,1,"Analytical
expression",0.766301473066769
-0.472697306198142,10,1,"Analytical
expression",0.754627912543189
-0.462372422695282,10,1,"Analytical
expression",0.743607656577788
-0.452047539192422,10,1,"Analytical
expression",0.733217165519952
-0.441722655689561,10,1,"Analytical
expression",0.723434436337612
-0.431397772186701,10,1,"Analytical
expression",0.714238925214627
-0.421072888683841,10,1,"Analytical
expression",0.705611475843063
-0.410748005180981,10,1,"Analytical
expression",0.69753425306084
-0.40042312167812,10,1,"Analytical
expression",0.68999068151352
-0.39009823817526,10,1,"Analytical
expression",0.682965389045413
-0.3797733546724,10,1,"Analytical
expression",0.676444154549693
-0.36944847116954,10,1,"Analytical
expression",0.670413860030082
-0.359123587666679,10,1,"Analytical
expression",0.664862446648064
-0.348798704163819,10,1,"Analytical
expression",0.659778874549556
-0.338473820660959,10,1,"Analytical
expression",0.655153086283759
-0.328148937158099,10,1,"Analytical
expression",0.650975973644515
-0.317824053655238,10,1,"Analytical
expression",0.647239347781145
-0.307499170152378,10,1,"Analytical
expression",0.643935912441462
-0.297174286649518,10,1,"Analytical
expression",0.641059240224542
-0.286849403146658,10,1,"Analytical
expression",0.638603751735045
-0.276524519643797,10,1,"Analytical
expression",0.636564697544412
-0.266199636140937,10,1,"Analytical
expression",0.634938142877288
-0.255874752638077,10,1,"Analytical
expression",0.633720954954012
-0.245549869135217,10,1,"Analytical
expression",0.632910792932179
-0.235224985632357,10,1,"Analytical
expression",0.632506100402037
-0.224900102129496,10,1,"Analytical
expression",0.632506100402037
-0.214575218626636,10,1,"Analytical
expression",0.632910792932179
-0.204250335123776,10,1,"Analytical
expression",0.633720954954012
-0.193925451620915,10,1,"Analytical
expression",0.634938142877288
-0.183600568118055,10,1,"Analytical
expression",0.636564697544412
-0.173275684615195,10,1,"Analytical
expression",0.638603751735045
-0.162950801112335,10,1,"Analytical
expression",0.641059240224542
-0.152625917609474,10,1,"Analytical
expression",0.643935912441462
-0.142301034106614,10,1,"Analytical
expression",0.647239347781145
-0.131976150603754,10,1,"Analytical
expression",0.650975973644515
-0.121651267100894,10,1,"Analytical
expression",0.655153086283759
-0.111326383598034,10,1,"Analytical
expression",0.659778874549556
-0.101001500095173,10,1,"Analytical
expression",0.664862446648064
-0.090676616592313,10,1,"Analytical
expression",0.670413860030082
-0.0803517330894528,10,1,"Analytical
expression",0.676444154549693
-0.0700268495865926,10,1,"Analytical
expression",0.682965389045413
-0.0597019660837324,10,1,"Analytical
expression",0.68999068151352
-0.0493770825808721,10,1,"Analytical
expression",0.69753425306084
-0.0390521990780119,10,1,"Analytical
expression",0.705611475843063
-0.0287273155751515,10,1,"Analytical
expression",0.714238925214627
-0.0184024320722913,10,1,"Analytical
expression",0.723434436337612
-0.0080775485694311,10,1,"Analytical
expression",0.733217165519952
0.0022473349334291,10,1,"Analytical
expression",0.743607656577788
0.0125722184362893,10,1,"Analytical
expression",0.754627912543189
0.0228971019391495,10,1,"Analytical
expression",0.766301473066768
0.0332219854420099,10,1,"Analytical
expression",0.778653497895292
0.0435468689448701,10,1,"Analytical
expression",0.791710856837288
0.0538717524477304,10,1,"Analytical
expression",0.805502226665237
0.0641966359505906,10,1,"Analytical
expression",0.820058195441301
0.0745215194534508,10,1,"Analytical
expression",0.83541137479514
0.084846402956311,10,1,"Analytical
expression",0.851596520727306
0.0951712864591712,10,1,"Analytical
expression",0.868650663560447
0.105496169962032,10,1,"Analytical
expression",0.886613247713346
0.115821053464892,10,1,"Analytical
expression",0.905526282030159
0.126145936967752,10,1,"Analytical
expression",0.925434501459362
0.136470820470612,10,1,"Analytical
expression",0.94638554094449
0.146795703973472,10,1,"Analytical
expression",0.968430122462175
0.157120587476333,10,1,"Analytical
expression",0.991622256222768
0.167445470979193,10,1,"Analytical
expression",1.01601945713569
0.177770354482053,10,1,"Analytical
expression",1.04168297773615
0.188095237984913,10,1,"Analytical
expression",1.0686780588728
0.198420121487774,10,1,"Analytical
expression",1.09707419956791
0.208745004990634,10,1,"Analytical
expression",1.12694544758398
0.219069888493494,10,1,"Analytical
expression",1.15837071236384
0.229394771996355,10,1,"Analytical
expression",1.19143410215655
0.239719655499215,10,1,"Analytical
expression",1.22622528730023
0.250044539002075,10,1,"Analytical
expression",1.26283989180585
0.260369422504935,10,1,"Analytical
expression",1.30137991557523
0.270694306007795,10,1,"Analytical
expression",1.3419541897933
0.281019189510656,10,1,"Analytical
expression",1.38467886826012
0.291344073013516,10,1,"Analytical
expression",1.42967795767562
0.301668956516376,10,1,"Analytical
expression",1.47708389015993
0.311993840019236,10,1,"Analytical
expression",1.52703814158792
0.322318723522097,10,1,"Analytical
expression",1.57969189964035
0.332643607024957,10,1,"Analytical
expression",1.63520678582855
0.342968490527817,10,1,"Analytical
expression",1.69375563613816
0.353293374030677,10,1,"Analytical
expression",1.75552334536308
0.363618257533538,10,1,"Analytical
expression",1.82070778066792
0.373943141036398,10,1,"Analytical
expression",1.88952077042941
0.384268024539258,10,1,"Analytical
expression",1.96218917496916
0.394592908042118,10,1,"Analytical
expression",2.03895604640762
0.404917791544978,10,1,"Analytical
expression",2.12008188554637
0.415242675047839,10,1,"Analytical
expression",2.20584600443083
0.425567558550699,10,1,"Analytical
expression",2.29654800406374
0.435892442053559,10,1,"Analytical
expression",2.39250937763973
0.446217325556419,10,1,"Analytical
expression",2.49407525066104
0.45654220905928,10,1,"Analytical
expression",2.60161627038394
0.46686709256214,10,1,"Analytical
expression",2.71553065824451
0.477191976065,10,1,"Analytical
expression",2.83624644023291
0.487516859567861,10,1,"Analytical
expression",2.96422387164054
0.497841743070721,10,1,"Analytical
expression",3.09995807420821
0.508166626573581,10,1,"Analytical
expression",3.24398190547135
0.518491510076441,10,1,"Analytical
expression",3.3968690820494
0.528816393579301,10,1,"Analytical
expression",3.55923758077868
0.539141277082162,10,1,"Analytical
expression",3.73175334396428
0.549466160585022,10,1,"Analytical
expression",3.91513431765127
0.559791044087882,10,1,"Analytical
expression",4.11015485471472
0.570115927590742,10,1,"Analytical
expression",4.31765051777348
0.580440811093603,10,1,"Analytical
expression",4.53852332047627
0.590765694596463,10,1,"Analytical
expression",4.77374744962958
0.601090578099323,10,1,"Analytical
expression",5.02437551497526
0.611415461602183,10,1,"Analytical
expression",5.2915453782295
