n,log_alpha,d,C_over_A_sq_rad_ub,C_over_A_sq_rad_lb,A_sq_radius,C_sq_rad_expect,true_ratio_expect
1000,-1,1,,1.6,0.000810814878791739,0.008,9.86661716410711
1000,-3.16227766016838,1,,1.53009245430442,0.00412199156757295,0.0166491106406735,4.03909381369176
1000,-10,1,4.88888888888889,1.61027323168375,0.016631121359722,0.044,2.64564241029238
1000,-31.6227766016838,1,3.32875230556032,1.72853348792148,0.058688983036006,0.130491106406735,2.22343444470112
1000,-100,1,2.66264693542869,1.82805429864253,0.194269007693488,0.404,2.07959058831154
1000,-316.227766016838,1,2.34781789739029,1.89666817039,0.625562114252867,1.26891106406735,2.02843336441955
1000,-1000,1,2.1881083589373,1.9396917163205,1.99195054489975,4.004,2.01009006486228
1000,-3162.27766016838,1,2.10348042737898,1.96537189913647,6.31535268218662,12.6531106406735,2.00354774743832
1000,-10000,1,2.05747560797767,1.98029800504926,19.9896453475696,40.004,2.00123610521504
1000,-31622.7766016838,1,2.03209669104067,1.9888476866729,63.2340469908817,126.495106406735,2.00042718165699
1000,-1e+05,1,2.01797876737495,1.99370538148427,199.987342397939,400.004,2.00014658529771
1000,-316227.766016838,1,2.01008796769484,1.99645291677109,632.44172310445,1264.91506406735,2.00004999331527
1000,-1e+06,1,2.00566586132005,1.9980029980005,1999.98503976604,4000.004,2.00001696036083
1000,-3162277.66016838,1,2.00318393022235,1.99887626567731,6324.539208806,12649.1146406735,2.0000057273835
1000,-1e+07,1,2.0017897546056,1.99936784440473,19999.9827371752,40000.004,2.00000192628414
1000,-31622776.6016838,1,2.0010062313885,1.99964443897508,63245.5347892498,126491.110406735,2.00000064555127
1000,-1e+08,1,2.00056577543202,1.999800029998,199999.98043459,400000.004,2.00000021565413
1000,-1,2,,1.75735931288072,0.002,0.012,6
1000,-3.16227766016838,2,3.54518233668002,1.54625308620053,0.00632455532033676,0.0206491106406735,3.26491106406735
1000,-10,2,2.46153846153846,1.55117561465357,0.02,0.048,2.4
1000,-31.6227766016838,2,2.1434364594863,1.65729516342282,0.0632455532033676,0.134491106406735,2.12649110640674
1000,-100,2,2.04511278195489,1.77172326094979,0.2,0.408,2.04
1000,-316.227766016838,2,2.0142415083717,1.85893498411401,0.632455532033676,1.27291106406735,2.01264911064067
1000,-1000,2,2.00450112528132,1.91638047908133,2,4.008,2.004
1000,-3162.27766016838,2,2.00142313745597,1.95156842342279,6.32455532033676,12.6571106406735,2.00126491106407
1000,-10000,2,2.00045001125028,1.97231009217519,20,40.008,2.0004
1000,-31622.7766016838,2,2.00014230361972,1.98428331815324,63.2455532033676,126.499106406735,2.00012649110641
1000,-1e+05,2,2.0000450001125,1.99111554940545,200,400.008,2.00004
1000,-316227.766016838,2,2.00001423026072,1.99498920815645,632.455532033676,1264.91906406735,2.00001264911064
1000,-1e+06,2,2.00000450000113,1.9971775672204,2000,4000.008,2.000004
1000,-3162277.66016838,2,2.00000142302506,1.99841135490332,6324.55532033676,12649.1186406735,2.00000126491106
1000,-1e+07,2,2.00000045000001,1.99910617263013,20000,40000.008,2.0000004
1000,-31622776.6016838,2,2.0000001423025,1.99949721633298,63245.5532033676,126491.114406735,2.00000012649111
1000,-1e+08,2,2.000000045,1.99971721728187,2e+05,400000.008,2.00000004
1000,-1,10,,2.40114967216522,0.0108681854952413,0.044,4.04851389583531
1000,-3.16227766016838,10,3.80837643025114,1.90955647332009,0.0188410077688469,0.0526491106406735,2.79438930690997
1000,-10,10,2.90909090909091,1.6,0.0375523098271941,0.08,2.13036163069966
1000,-31.6227766016838,10,2.3533791011307,1.53009245430442,0.0872851450579137,0.166491106406735,1.90743919021121
1000,-100,10,2.12048192771084,1.61027323168375,0.231733040324173,0.44,1.89873657802306
1000,-316.227766016838,10,2.03906521429787,1.72853348792148,0.672668119964037,1.30491106406735,1.93990323807395
1000,-1000,10,2.01245330012453,1.82805429864253,2.04910780888508,4.04,1.97158977311114
1000,-3162.27766016838,10,2.00394816512732,1.89666817039,6.38274737402671,12.6891106406735,1.98803272275968
1000,-10000,10,2.00124953142572,1.9396917163205,20.0673543091687,40.04,1.99528046314037
1000,-31622.7766016838,10,2.00039523783808,1.96537189913647,63.3221000883845,126.531106406735,1.9982139921153
1000,-1e+05,10,2.00012499531268,1.98029800504926,200.085750805323,400.04,1.99934277373518
1000,-316227.766016838,10,2.00003952800201,1.9888476866729,632.550490896456,1264.95106406735,1.9997629948475
1000,-1e+06,10,2.00001249995313,1.99370538148427,2000.10416840147,4000.04,1.99991583598215
1000,-3162277.66016838,10,2.00000395284239,1.99645291677109,6324.66869879988,12649.1506406735,1.99997047166656
1000,-1e+07,10,2.00000124999953,1.9980029980005,20000.1225887074,40000.04,1.99998974119214
1000,-31622776.6016838,10,2.00000039528466,1.99887626567731,63245.6850023824,126491.146406735,1.9999964646121
1000,-1e+08,10,2.000000125,1.99936784440473,200000.141009344,400000.04,1.99999878990741
1000,-1,100,,3.31147540983607,0.104164352516753,0.404,3.87848616382485
1000,-3.16227766016838,100,3.9744847388703,2.90822956690621,0.125644317596787,0.412649110640674,3.28426401236012
1000,-10,100,3.74468085106383,2.40114967216522,0.165117149078208,0.44,2.66477469152276
1000,-31.6227766016838,100,3.27530744032865,1.90955647332009,0.247163891688098,0.526491106406735,2.1301295379793
1000,-100,100,2.6890756302521,1.6,0.439928892473672,0.8,1.81847569842864
1000,-316.227766016838,100,2.28083902512371,1.53009245430442,0.947264136717821,1.66491106406735,1.75759959607054
1000,-1000,100,2.09773539928486,1.61027323168375,2.40602484234076,4.4,1.82874254769512
1000,-3162.27766016838,100,2.03192124480006,1.72853348792148,6.83281450374886,13.0491106406735,1.90977094922071
1000,-10000,100,2.01020027366588,1.82805429864253,20.6164664641955,40.4,1.95959865722686
1000,-31622.7766016838,100,2.00323634541805,1.89666817039,63.9729855427153,126.891106406735,1.98351077928056
1000,-1e+05,100,2.00102450055598,1.9396917163205,200.839546700671,400.4,1.99363126723619
1000,-316227.766016838,100,2.00032408349912,1.96537189913647,633.407641640343,1265.31106406735,1.99762519566477
1000,-1e+06,100,2.00010249500337,1.98029800504926,2001.06484080805,4000.4,1.99913561940581
1000,-3162277.66016838,100,2.00003241284634,1.9888476866729,6325.73295383001,12649.5106406735,1.99969090269843
1000,-1e+07,100,2.00001024995003,1.99370538148427,20001.2904482187,40000.4,1.99989096221351
1000,-31622776.6016838,100,2.0000032413296,1.99645291677109,63246.9564741005,126491.506406735,1.99996195008266
1000,-1e+08,100,2.0000010249995,1.9980029980005,200001.516095969,400000.4,1.99998683914008
1000,-1,1000,,3.75875776994264,1.01449589932021,4.004,3.94678776196435
1000,-3.16227766016838,1000,3.99736098242802,3.58658818471432,1.07840987601748,4.01264911064067,3.720894253546
1000,-10,1000,3.97051597051597,3.31147540983607,1.18466004914616,4.04,3.41026103050561
1000,-31.6227766016838,1000,3.89017997194997,2.90822956690622,1.37704934440104,4.12649110640674,2.99661818451509
1000,-100,1000,3.67432150313152,2.40114967216522,1.75492133121121,4.4,2.50723489523215
1000,-316.227766016838,1000,3.23009490786438,1.90955647332009,2.56575432906825,5.26491106406735,2.05199344474235
1000,-1000,1000,2.66889074228524,1.6,4.49166938256217,8,1.78107498985969
1000,-3162.27766016838,1000,2.27383021737506,1.53009245430442,9.57093626050484,16.6491106406735,1.73954879517663
1000,-10000,1000,2.09548755804262,1.61027323168375,24.170806789058,44,1.82037779640515
1000,-31622.7766016838,1000,2.03120960010498,1.72853348792148,68.4552577560488,130.491106406735,1.90622474714449
1000,-1e+05,1000,2.00997524844836,1.82805429864253,206.310681307567,404,1.95821174860898
1000,-316227.766016838,1000,2.00316519125903,1.89666817039,639.895865178412,1268.91106406735,1.98299619222194
1000,-1e+06,1000,2.00100200025237,1.9396917163205,2008.58192204765,4004,1.99344620005249
1000,-3162277.66016838,1000,2.00031696834363,1.96537189913647,6334.28349235277,12653.1106406735,1.99755989070419
1000,-1e+07,1000,2.00010024500028,1.98029800504926,20010.8761704321,40004,1.99911286538816
1000,-31622776.6016838,1000,2.00003170133355,1.9888476866729,63257.5780108501,126495.106406735,1.99968304801424
1000,-1e+08,1000,2.00001002495,1.99370538148427,200013.173673426,400004,1.99988827062517
1000,-1,10000,,3.92119192315232,10.0471336082878,40.004,3.98163312638752
1000,-3.16227766016838,10000,3.9997351902139,3.86148664848841,10.2451590721398,40.0126491106407,3.90551760386515
1000,-10,10000,3.99700524082855,3.75875776994264,10.5630867610588,40.04,3.79055866014553
1000,-31.6227766016838,10000,3.98842122526698,3.58658818471432,11.1085962390308,40.1264911064067,3.61220177986301
1000,-100,10000,3.96175533218926,3.31147540983607,12.0940270462028,40.4,3.34049195075056
1000,-316.227766016838,10000,3.88194578422406,2.90822956690621,13.960209753649,41.2649110640674,2.95589477466706
1000,-1000,10000,3.66743071473224,2.40114967216522,17.6999124694185,44,2.48588799950407
1000,-3162.27766016838,10000,3.22564221278398,1.90955647332009,25.7855964278388,52.6491106406735,2.04180309685729
1000,-10000,10000,2.66688890740895,1.6,45.0358816691036,80,1.77636135976623
1000,-31622.7766016838,10000,2.27313170498851,1.53009245430442,95.8308992511261,166.491106406735,1.73734262860712
1000,-1e+05,10000,2.0952630388457,1.61027323168375,241.84028219462,440,1.81938259419459
1000,-316227.766016838,10000,2.03113846305103,1.72853348792148,684.700721017562,1304.91106406735,1.90581231187849
1000,-1e+06,10000,2.00995274869745,1.82805429864253,2063.27363619546,4040,1.95805342012197
1000,-3162277.66016838,10000,2.00315807612114,1.89666817039,6399.14539204057,12689.1106406735,1.98293832430446
1000,-1e+07,10000,2.00099975024984,1.9396917163205,20086.0263810467,40040,1.99342564031391
1000,-31622776.6016838,10000,2.00031625683086,1.96537189913647,63343.0626969007,126531.106406735,1.99755270773995
1000,-1e+08,10000,2.00010002000025,1.98029800504926,200109.01016148,400040,1.99911038327152
1000,-1,1e+05,,3.97482152494651,100.150332074877,400.004,3.994035683286
1000,-3.16227766016838,1e+05,3.99997350990672,3.9553907368589,100.772432341371,400.012649110641,3.96946505920966
1000,-10,1e+05,3.99970005249081,3.92119192315232,101.759924004703,400.04,3.93121362769014
1000,-31.6227766016838,1e+05,3.99883579613801,3.86148664848841,103.423658274612,400.126491106407,3.86881007480886
1000,-100,1e+05,3.99610768731755,3.75875776994264,106.339677695483,400.4,3.76529258577025
1000,-316.227766016838,1e+05,3.9875294482897,3.58658818471432,111.592210999772,401.264911064067,3.59581468517448
1000,-1000,1e+05,3.96088139415182,3.31147540983607,121.300553211563,404,3.33057013594468
1000,-3162.27766016838,1e+05,3.88112428223295,2.90822956690621,139.863194204114,412.649110640673,2.95037670910375
1000,-10000,1e+05,3.66674305714702,2.40114967216522,177.197119452305,440,2.48311034265109
1000,-31622.7766016838,1e+05,3.22519761836869,1.90955647332009,258.017831527085,526.491106406735,2.04052217356717
1000,-1e+05,1e+05,2.66668888907408,1.6,450.504656691542,800,1.77578630568464
1000,-316227.766016838,1e+05,2.27306187735298,1.53009245430442,958.453679360076,1664.91106406735,1.7370803617541
1000,-1e+06,1e+05,2.09524058957213,1.61027323168375,2418.55665859606,4400,1.81926686908966
1000,-3162277.66016838,1e+05,2.03113134961968,1.72853348792148,6847.17638462545,13049.1106406735,1.9057652246222
1000,-1e+07,1e+05,2.00995049875006,1.82805429864253,20632.924007686,40400,1.95803561264272
1000,-31622776.6016838,1e+05,2.00315736461013,1.89666817039,63991.6614139067,126891.106406735,1.98293189461024
1000,-1e+08,1e+05,2.00099952524987,1.9396917163205,200860.49170184,400400,1.99342337862221
