alpha,n,d,theta_star,power,power_approx_2
0.1,1000,1,0.001,0.1001696388672,0.114277253160467
0.1,1000,2,0.001,0.100230275911423,0.0967515752924199
0.1,1000,10,0.001,0.100459501027287,0.0909048990906893
0.1,1000,1,0.002,0.100678505382504,0.115382824262505
0.1,1000,2,0.002,0.100921311700189,0.0979326223263707
0.1,1000,10,0.002,0.101842564132365,0.0926615393242656
0.1,1000,1,0.003,0.101526448485601,0.117222932763989
0.1,1000,2,0.003,0.102073725757035,0.099904191933718
0.1,1000,10,0.003,0.104162770232777,0.0956166542011581
0.1,1000,1,0.004,0.102713213745527,0.119793543771292
0.1,1000,2,0.004,0.103688529550842,0.102670470202308
0.1,1000,10,0.004,0.107442421509375,0.0998097639358526
0.1,1000,1,0.005,0.104238439391693,0.123088507446362
0.1,1000,2,0.005,0.105767099065251,0.106236266473317
0.1,1000,10,0.005,0.111712035065816,0.105293106313899
0.1,1000,1,0.006,0.10610165081047,0.127099142669618
0.1,1000,2,0.006,0.108311135228942,0.110606074523225
0.1,1000,10,0.006,0.117009620461866,0.112128590505602
0.1,1000,1,0.007,0.108302253560005,0.131813808629706
0.1,1000,2,0.007,0.111322613755454,0.115783013584939
0.1,1000,10,0.007,0.123379729929148,0.120383978284017
0.1,1000,1,0.008,0.110839524970234,0.137217522591236
0.1,1000,2,0.008,0.114803724922845,0.121767739620492
0.1,1000,10,0.008,0.130872270197329,0.130128414951092
0.1,1000,1,0.009,0.113712604408889,0.143291675480855
0.1,1000,2,0.009,0.118756803934404,0.128557416829594
0.1,1000,10,0.009,0.139541067266715,0.141427494225882
0.1,1000,1,0.01,0.116920482307421,0.15001388416454
0.1,1000,2,0.01,0.123184252608347,0.136144830122214
0.1,1000,10,0.01,0.149442180435723,0.154338102277743
0.1,1000,1,0.011,0.120461988053219,0.157358002729126
0.1,1000,2,0.011,0.128088453245841,0.144517702597784
0.1,1000,10,0.011,0.160631969552889,0.168903333906954
0.1,1000,1,0.012,0.124335776866023,0.165294297423949
0.1,1000,2,0.012,0.133471675622214,0.153658260322706
0.1,1000,10,0.012,0.173164929753701,0.185147797572656
0.1,1000,1,0.013,0.128540315787116,0.173789773672915
0.1,1000,2,0.013,0.13933597813444,0.163543062804385
0.1,1000,10,0.013,0.187091320592127,0.203073618321524
0.1,1000,1,0.014,0.133073868919438,0.182808630645596
0.1,1000,2,0.014,0.145683104218268,0.174143094487759
0.1,1000,10,0.014,0.202454630985584,0.222657407011686
0.1,1000,1,0.015,0.1379344820653,0.192312810370117
0.1,1000,2,0.015,0.152514375219555,0.185424092859463
0.1,1000,10,0.015,0.219288937025623,0.243848394787185
0.1,1000,1,0.016,0.143119966915692,0.202262604529444
0.1,1000,2,0.016,0.15983058096526,0.197347074042931
0.1,1000,10,0.016,0.237616225509529,0.266567842592989
0.1,1000,1,0.017,0.148627884951277,0.212617282453837
0.1,1000,2,0.017,0.167631869329518,0.20986900786644
0.1,1000,10,0.017,0.257443770879031,0.290709738416203
0.1,1000,1,0.018,0.154455531219945,0.223335707488725
0.1,1000,2,0.018,0.175917636127847,0.222943591160491
0.1,1000,10,0.018,0.278761665843142,0.316142701967216
0.1,1000,1,0.019,0.160599918159299,0.234376914755427
0.1,1000,2,0.019,0.184686416697188,0.236522069686655
0.1,1000,10,0.019,0.301540614999978,0.342712937873699
0.1,1000,1,0.02,0.167057759634529,0.245700630223085
0.1,1000,2,0.02,0.193935780530206,0.25055406440837
0.1,1000,10,0.02,0.325730105001143,0.370248021055903
0.1,1000,1,0.021,0.173825455362848,0.257267718032808
0.1,1000,2,0.021,0.203662230328296,0.264988365443816
0.1,1000,10,0.021,0.351257063138047,0.398561264874295
0.1,1000,1,0.022,0.180899075894981,0.269040549465167
0.1,1000,2,0.022,0.213861106818506,0.27977366573407
0.1,1000,10,0.022,0.378025107879262,0.427456413445337
