n,alpha,d,theta_star,power
1000,0.1,1,0.001,0.0026
1000,0.1,2,0.001,0.0038
1000,0.1,10,0.001,0.0096
1000,0.1,1,0.002,0.0032
1000,0.1,2,0.002,0.0062
1000,0.1,10,0.002,0.0106
1000,0.1,1,0.003,0.0014
1000,0.1,2,0.003,0.0056
1000,0.1,10,0.003,0.0134
1000,0.1,1,0.004,0.0024
1000,0.1,2,0.004,0.005
1000,0.1,10,0.004,0.014
1000,0.1,1,0.005,0.0038
1000,0.1,2,0.005,0.0054
1000,0.1,10,0.005,0.0142
1000,0.1,1,0.006,0.0028
1000,0.1,2,0.006,0.0066
1000,0.1,10,0.006,0.0142
1000,0.1,1,0.007,0.003
1000,0.1,2,0.007,0.0074
1000,0.1,10,0.007,0.0148
1000,0.1,1,0.008,0.0026
1000,0.1,2,0.008,0.0068
1000,0.1,10,0.008,0.0162
1000,0.1,1,0.009,0.003
1000,0.1,2,0.009,0.0086
1000,0.1,10,0.009,0.0206
1000,0.1,1,0.01,0.0044
1000,0.1,2,0.01,0.0072
1000,0.1,10,0.01,0.0184
1000,0.1,1,0.011,0.0042
1000,0.1,2,0.011,0.0086
1000,0.1,10,0.011,0.0176
1000,0.1,1,0.012,0.003
1000,0.1,2,0.012,0.0096
1000,0.1,10,0.012,0.022
1000,0.1,1,0.013,0.0044
1000,0.1,2,0.013,0.0098
1000,0.1,10,0.013,0.022
1000,0.1,1,0.014,0.0046
1000,0.1,2,0.014,0.009
1000,0.1,10,0.014,0.0262
1000,0.1,1,0.015,0.0052
1000,0.1,2,0.015,0.0128
1000,0.1,10,0.015,0.0302
1000,0.1,1,0.016,0.0044
1000,0.1,2,0.016,0.0122
1000,0.1,10,0.016,0.029
1000,0.1,1,0.017,0.0066
1000,0.1,2,0.017,0.0122
1000,0.1,10,0.017,0.0382
1000,0.1,1,0.018,0.0068
1000,0.1,2,0.018,0.0178
1000,0.1,10,0.018,0.0406
1000,0.1,1,0.019,0.0078
1000,0.1,2,0.019,0.0186
1000,0.1,10,0.019,0.0482
1000,0.1,1,0.02,0.0092
1000,0.1,2,0.02,0.015
1000,0.1,10,0.02,0.0494
1000,0.1,1,0.021,0.009
1000,0.1,2,0.021,0.0236
1000,0.1,10,0.021,0.0584
1000,0.1,1,0.022,0.0104
1000,0.1,2,0.022,0.021
1000,0.1,10,0.022,0.0636
1000,0.1,1,0.023,0.0108
