n,alpha,d,theta_star,power
1000,0.1,1,0.001,0.0046
1000,0.1,2,0.001,0.0066
1000,0.1,10,0.001,0.0106
1000,0.1,1,0.002,0.0042
1000,0.1,2,0.002,0.0058
1000,0.1,10,0.002,0.0124
1000,0.1,1,0.003,0.0018
1000,0.1,2,0.003,0.0072
1000,0.1,10,0.003,0.01
1000,0.1,1,0.004,0.0032
1000,0.1,2,0.004,0.008
1000,0.1,10,0.004,0.0122
1000,0.1,1,0.005,0.0042
1000,0.1,2,0.005,0.0076
1000,0.1,10,0.005,0.0144
1000,0.1,1,0.006,0.0036
1000,0.1,2,0.006,0.0092
1000,0.1,10,0.006,0.011
1000,0.1,1,0.007,0.0032
1000,0.1,2,0.007,0.0064
1000,0.1,10,0.007,0.0106
1000,0.1,1,0.008,0.003
1000,0.1,2,0.008,0.0106
1000,0.1,10,0.008,0.0142
1000,0.1,1,0.009,0.006
1000,0.1,2,0.009,0.0094
1000,0.1,10,0.009,0.0164
1000,0.1,1,0.01,0.0042
1000,0.1,2,0.01,0.0086
1000,0.1,10,0.01,0.016
1000,0.1,1,0.011,0.0042
1000,0.1,2,0.011,0.0088
1000,0.1,10,0.011,0.0196
1000,0.1,1,0.012,0.0044
1000,0.1,2,0.012,0.0124
1000,0.1,10,0.012,0.0192
1000,0.1,1,0.013,0.0072
1000,0.1,2,0.013,0.011
1000,0.1,10,0.013,0.0178
1000,0.1,1,0.014,0.0062
1000,0.1,2,0.014,0.0134
1000,0.1,10,0.014,0.0232
1000,0.1,1,0.015,0.0062
1000,0.1,2,0.015,0.0138
1000,0.1,10,0.015,0.0294
1000,0.1,1,0.016,0.0072
1000,0.1,2,0.016,0.014
1000,0.1,10,0.016,0.0308
1000,0.1,1,0.017,0.0076
1000,0.1,2,0.017,0.0158
1000,0.1,10,0.017,0.027
1000,0.1,1,0.018,0.0078
1000,0.1,2,0.018,0.0192
1000,0.1,10,0.018,0.036
1000,0.1,1,0.019,0.0078
1000,0.1,2,0.019,0.0186
1000,0.1,10,0.019,0.0394
1000,0.1,1,0.02,0.007
1000,0.1,2,0.02,0.0204
1000,0.1,10,0.02,0.0398
1000,0.1,1,0.021,0.0086
1000,0.1,2,0.021,0.0206
1000,0.1,10,0.021,0.043
1000,0.1,1,0.022,0.0082
1000,0.1,2,0.022,0.0244
1000,0.1,10,0.022,0.053
1000,0.1,1,0.023,0.0106
1000,0.1,2,0.023,0.0218
1000,0.1,10,0.023,0.0564
1000,0.1,1,0.024,0.0116
1000,0.1,2,0.024,0.0282
1000,0.1,10,0.024,0.0668
1000,0.1,1,0.025,0.0124
1000,0.1,2,0.025,0.03
1000,0.1,10,0.025,0.072
1000,0.1,1,0.026,0.0146
1000,0.1,2,0.026,0.0314
1000,0.1,10,0.026,0.0822
1000,0.1,1,0.027,0.0164
1000,0.1,2,0.027,0.0368
1000,0.1,10,0.027,0.091
1000,0.1,1,0.028,0.0196
1000,0.1,2,0.028,0.0296
1000,0.1,10,0.028,0.0904
1000,0.1,1,0.029,0.0188
1000,0.1,2,0.029,0.044
1000,0.1,10,0.029,0.1052
1000,0.1,1,0.03,0.0176
1000,0.1,2,0.03,0.0466
1000,0.1,10,0.03,0.106
1000,0.1,1,0.031,0.024
1000,0.1,2,0.031,0.0446
1000,0.1,10,0.031,0.1224
1000,0.1,1,0.032,0.023
1000,0.1,2,0.032,0.0518
1000,0.1,10,0.032,0.1388
1000,0.1,1,0.033,0.0252
1000,0.1,2,0.033,0.0512
1000,0.1,10,0.033,0.1416
1000,0.1,1,0.034,0.0252
1000,0.1,2,0.034,0.0566
1000,0.1,10,0.034,0.1568
1000,0.1,1,0.035,0.028
1000,0.1,2,0.035,0.0696
1000,0.1,10,0.035,0.1762
1000,0.1,1,0.036,0.033
1000,0.1,2,0.036,0.07
1000,0.1,10,0.036,0.184
1000,0.1,1,0.037,0.0318
1000,0.1,2,0.037,0.0686
1000,0.1,10,0.037,0.1962
1000,0.1,1,0.038,0.0322
1000,0.1,2,0.038,0.0794
1000,0.1,10,0.038,0.2144
1000,0.1,1,0.039,0.0348
1000,0.1,2,0.039,0.0842
1000,0.1,10,0.039,0.2266
1000,0.1,1,0.04,0.037
1000,0.1,2,0.04,0.0898
1000,0.1,10,0.04,0.2456
1000,0.1,1,0.041,0.0406
1000,0.1,2,0.041,0.0902
1000,0.1,10,0.041,0.2664
1000,0.1,1,0.042,0.0396
1000,0.1,2,0.042,0.0962
1000,0.1,10,0.042,0.2926
1000,0.1,1,0.043,0.0456
1000,0.1,2,0.043,0.1106
1000,0.1,10,0.043,0.2986
1000,0.1,1,0.044,0.046
1000,0.1,2,0.044,0.1148
1000,0.1,10,0.044,0.3222
1000,0.1,1,0.045,0.0482
1000,0.1,2,0.045,0.118
1000,0.1,10,0.045,0.3412
1000,0.1,1,0.046,0.0546
1000,0.1,2,0.046,0.1218
1000,0.1,10,0.046,0.3548
1000,0.1,1,0.047,0.063
1000,0.1,2,0.047,0.1298
