alpha,n,d,theta_star,power,power_approx_2
0.1,1000,1,0.001,0.00242909066245107,3.44673245329122e-09
0.1,1000,2,0.001,0.00470354829603788,6.51991055620484e-06
0.1,1000,10,0.001,0.0110310549849441,0.00192702381544524
0.1,1000,1,0.002,0.00246563503162757,3.86785095544582e-09
0.1,1000,2,0.002,0.00477916150573019,7.01299810767038e-06
0.1,1000,10,0.002,0.0112925555878105,0.00202287818137062
0.1,1000,1,0.003,0.00252679365755048,4.67315407203941e-09
0.1,1000,2,0.003,0.00490602905104794,7.90418640023566e-06
0.1,1000,10,0.003,0.0117363135581167,0.00219052045829641
0.1,1000,1,0.004,0.0026129438787868,6.05288817368141e-09
0.1,1000,2,0.004,0.00508542146699,9.3095026022438e-06
0.1,1000,10,0.004,0.012374351577239,0.00244238153121718
0.1,1000,1,0.005,0.00272461460856725,8.35726029857465e-09
0.1,1000,2,0.005,0.00531912191618561,1.14171979839024e-05
0.1,1000,10,0.005,0.0132237701324863,0.002797071663534
0.1,1000,1,0.006,0.00286248696000322,1.22175293512588e-08
0.1,1000,2,0.006,0.00560943044215904,1.4518092480984e-05
0.1,1000,10,0.006,0.014307002616349,0.00328057969149496
0.1,1000,1,0.007,0.00302739502997932,1.87701501502536e-08
0.1,1000,2,0.007,0.00595916920952268,1.90513537395282e-05
0.1,1000,10,0.007,0.0156521232020951,0.00392778272823429
0.1,1000,1,0.008,0.00322032682683267,3.00667882602037e-08
0.1,1000,2,0.008,0.00637168856137979,2.56711651358616e-05
0.1,1000,10,0.008,0.0172931913924346,0.00478420806010233
0.1,1000,1,0.009,0.00344242532375472,4.98163259941857e-08
0.1,1000,2,0.009,0.00685087368818479,3.5341103747788e-05
0.1,1000,10,0.009,0.0192706125926472,0.00590794360178068
0.1,1000,1,0.01,0.00369498961670819,8.47095454658042e-08
0.1,1000,2,0.01,0.0074011516674688,4.94641227980231e-05
0.1,1000,10,0.01,0.0216314891676319,0.00737153780957954
0.1,1000,1,0.011,0.00397947616261505,1.46742967354389e-07
0.1,1000,2,0.011,0.0080274986003131,7.00564305465321e-05
0.1,1000,10,0.011,0.024429931348082,0.0092636718093883
0.1,1000,1,0.012,0.00429750007059948,2.57208501057634e-07
0.1,1000,2,0.012,0.00873544653877037,9.99728073780893e-05
0.1,1000,10,0.012,0.0277272922936712,0.0116903370256244
0.1,1000,1,0.013,0.00465083641626745,4.53371582159959e-07
0.1,1000,2,0.013,0.00953108986874848,0.00014318853563484
0.1,1000,10,0.013,0.031592286938534,0.014775224397469
0.1,1000,1,0.014,0.00504142154624015,7.99332974208207e-07
0.1,1000,2,0.014,0.0104210907857211,0.000205138805062469
0.1,1000,10,0.014,0.0361009503695766,0.0186590392654508
0.1,1000,1,0.015,0.00547135433762147,1.40314513219412e-06
0.1,1000,2,0.015,0.0114126834764226,0.00029311017414175
