n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,2,0.25,1,1284619755615.01,1,0,0
1000,1000,100,0.1,2,0.26,1,208771984064.996,1,0,0
1000,1000,100,0.1,2,0.27,0.999,8672244790.11867,1,0,0
1000,1000,100,0.1,2,0.28,1,138357389229.531,1,0,0
1000,1000,100,0.1,2,0.29,0.998,921477869.817728,1,0,0
1000,1000,100,0.1,2,0.3,1,1538935256.46317,1,0,0
1000,1000,100,0.1,2,0.31,0.994,249674565.467643,0.999940000000001,6e-05,0
1000,1000,100,0.1,2,0.32,0.985,9103581.27664515,0.999960000000001,4e-05,0
1000,1000,100,0.1,2,0.33,0.97,694105.821362717,0.999850000000001,0.00015,0
1000,1000,100,0.1,2,0.34,0.96,253726.511337041,0.999860000000001,0.00014,0
1000,1000,100,0.1,2,0.35,0.916,198224.168498367,0.999720000000001,0.00028,0
1000,1000,100,0.1,2,0.36,0.845,28956.3161324035,0.998470000000001,0.00153,0
1000,1000,100,0.1,2,0.37,0.748,4131.58735705828,0.996640000000001,0.00336,0
1000,1000,100,0.1,2,0.38,0.66,2854.50357189412,0.996270000000001,0.00373,0
1000,1000,100,0.1,2,0.39,0.541,391.756401989037,0.991730000000001,0.00827,0
1000,1000,100,0.1,2,0.4,0.425,125.568873951814,0.983300000000001,0.0167,0
1000,1000,100,0.1,2,0.41,0.293,264.363926116132,0.974760000000001,0.02524,0
1000,1000,100,0.1,2,0.42,0.182,11.7775174285907,0.960410000000001,0.03959,0
1000,1000,100,0.1,2,0.43,0.124,12.3908360640203,0.934640000000001,0.06536,0
1000,1000,100,0.1,2,0.44,0.072,8.34391753011575,0.904360000000001,0.09564,0
1000,1000,100,0.1,2,0.45,0.031,4.44149240082943,0.859400000000001,0.1406,0
1000,1000,100,0.1,2,0.46,0.013,4.05399213816764,0.7923,0.2077,0
1000,1000,100,0.1,2,0.47,0.006,1.15219799697766,0.72627,0.27373,0
1000,1000,100,0.1,2,0.48,0.004,0.918001009412734,0.66291,0.33709,0
1000,1000,100,0.1,2,0.49,0.001,0.820050164867218,0.58087,0.41913,0
