n,n_sim,alpha,d,theta_star_1,reject
1000,1000,0.1,2,0.25,1
1000,1000,0.1,2,0.26,1
1000,1000,0.1,2,0.27,1
1000,1000,0.1,2,0.28,1
1000,1000,0.1,2,0.29,1
1000,1000,0.1,2,0.3,1
1000,1000,0.1,2,0.31,1
1000,1000,0.1,2,0.32,1
1000,1000,0.1,2,0.33,0.999
1000,1000,0.1,2,0.34,0.997
1000,1000,0.1,2,0.35,0.998
1000,1000,0.1,2,0.36,0.993
1000,1000,0.1,2,0.37,0.982
1000,1000,0.1,2,0.38,0.952
1000,1000,0.1,2,0.39,0.89
1000,1000,0.1,2,0.4,0.846
1000,1000,0.1,2,0.41,0.744
1000,1000,0.1,2,0.42,0.641
1000,1000,0.1,2,0.43,0.52
1000,1000,0.1,2,0.44,0.396
1000,1000,0.1,2,0.45,0.279
1000,1000,0.1,2,0.46,0.153
1000,1000,0.1,2,0.47,0.114
1000,1000,0.1,2,0.48,0.066
1000,1000,0.1,2,0.49,0.029
1000,1000,0.1,2,0.5,0.013
1000,1000,0.1,2,0.51,0.004
1000,1000,0.1,2,0.52,0.002
1000,1000,0.1,2,0.53,0
1000,1000,0.1,2,0.54,0
1000,1000,0.1,2,0.55,0
1000,1000,0.1,2,0.56,0
1000,1000,0.1,2,0.57,0
1000,1000,0.1,2,0.58,0
1000,1000,0.1,2,0.59,0
1000,1000,0.1,2,0.6,0
1000,1000,0.1,2,0.61,0
1000,1000,0.1,2,0.62,0
1000,1000,0.1,2,0.63,0
1000,1000,0.1,2,0.64,0
1000,1000,0.1,2,0.65,0
1000,1000,0.1,2,0.66,0
1000,1000,0.1,2,0.67,0
1000,1000,0.1,2,0.68,0
1000,1000,0.1,2,0.69,0
1000,1000,0.1,2,0.7,0
1000,1000,0.1,2,0.71,0
1000,1000,0.1,2,0.72,0
1000,1000,0.1,2,0.73,0
1000,1000,0.1,2,0.74,0
1000,1000,0.1,2,0.75,0
1000,1000,0.1,2,0.76,0
1000,1000,0.1,2,0.77,0
1000,1000,0.1,2,0.78,0
1000,1000,0.1,2,0.79,0
1000,1000,0.1,2,0.8,0
1000,1000,0.1,2,0.81,0
1000,1000,0.1,2,0.82,0
1000,1000,0.1,2,0.83,0
1000,1000,0.1,2,0.84,0
1000,1000,0.1,2,0.85,0
1000,1000,0.1,2,0.86,0
1000,1000,0.1,2,0.87,0
1000,1000,0.1,2,0.88,0
1000,1000,0.1,2,0.89,0
1000,1000,0.1,2,0.9,0
1000,1000,0.1,2,0.91,0
1000,1000,0.1,2,0.92,0
1000,1000,0.1,2,0.93,0
1000,1000,0.1,2,0.94,0
1000,1000,0.1,2,0.95,0
1000,1000,0.1,2,0.96,0.001
1000,1000,0.1,2,0.97,0
1000,1000,0.1,2,0.98,0.003
1000,1000,0.1,2,0.99,0.006
1000,1000,0.1,2,1,0.012
1000,1000,0.1,2,1.01,0.028
1000,1000,0.1,2,1.02,0.068
1000,1000,0.1,2,1.03,0.107
1000,1000,0.1,2,1.04,0.212
1000,1000,0.1,2,1.05,0.29
1000,1000,0.1,2,1.06,0.412
1000,1000,0.1,2,1.07,0.551
1000,1000,0.1,2,1.08,0.64
1000,1000,0.1,2,1.09,0.765
1000,1000,0.1,2,1.1,0.851
1000,1000,0.1,2,1.11,0.897
1000,1000,0.1,2,1.12,0.947
1000,1000,0.1,2,1.13,0.97
1000,1000,0.1,2,1.14,0.991
1000,1000,0.1,2,1.15,0.996
1000,1000,0.1,2,1.16,0.999
1000,1000,0.1,2,1.17,0.999
1000,1000,0.1,2,1.18,1
1000,1000,0.1,2,1.19,1
1000,1000,0.1,2,1.2,1
1000,1000,0.1,2,1.21,1
1000,1000,0.1,2,1.22,1
1000,1000,0.1,2,1.23,1
1000,1000,0.1,2,1.24,1
1000,1000,0.1,2,1.25,1
1000,1000,0.1,10,0.25,1
1000,1000,0.1,10,0.26,0.999
1000,1000,0.1,10,0.27,0.999
1000,1000,0.1,10,0.28,0.996
1000,1000,0.1,10,0.29,0.987
1000,1000,0.1,10,0.3,0.966
1000,1000,0.1,10,0.31,0.94
1000,1000,0.1,10,0.32,0.883
1000,1000,0.1,10,0.33,0.835
1000,1000,0.1,10,0.34,0.742
1000,1000,0.1,10,0.35,0.636
1000,1000,0.1,10,0.36,0.486
1000,1000,0.1,10,0.37,0.412
1000,1000,0.1,10,0.38,0.268
1000,1000,0.1,10,0.39,0.172
1000,1000,0.1,10,0.4,0.117
1000,1000,0.1,10,0.41,0.079
1000,1000,0.1,10,0.42,0.043
1000,1000,0.1,10,0.43,0.015
1000,1000,0.1,10,0.44,0.006
1000,1000,0.1,10,0.45,0.003
1000,1000,0.1,10,0.46,0
1000,1000,0.1,10,0.47,0.002
1000,1000,0.1,10,0.48,0
1000,1000,0.1,10,0.49,0
1000,1000,0.1,10,0.5,0
1000,1000,0.1,10,0.51,0
1000,1000,0.1,10,0.52,0
1000,1000,0.1,10,0.53,0
1000,1000,0.1,10,0.54,0
1000,1000,0.1,10,0.55,0
1000,1000,0.1,10,0.56,0
1000,1000,0.1,10,0.57,0
1000,1000,0.1,10,0.58,0
1000,1000,0.1,10,0.59,0
1000,1000,0.1,10,0.6,0
1000,1000,0.1,10,0.61,0
1000,1000,0.1,10,0.62,0
